City_ID,City,Country,Date,Lat,Lng,Current Description,Max Temp,Humidity %,Cloudiness %,Wind Speed
88,Lompoc,US,2022-02-07 23:28:14,34.6391,-120.4579,clear sky,78.69,58,0,11.5
89,Codrington,AU,2022-02-07 23:29:15,-38.2667,141.9667,clear sky,79.7,27,0,10.02
90,Paka,MY,2022-02-07 23:29:15,4.6374,103.4368,scattered clouds,76.93,94,40,1.14
91,Nanortalik,GL,2022-02-07 23:29:16,60.1432,-45.2371,overcast clouds,10.35,71,100,50.4
92,Otradnoye,RU,2022-02-07 23:29:16,59.7775,30.8181,light snow,36.03,99,100,2.66
93,Khatanga,RU,2022-02-07 23:29:17,71.9667,102.5,overcast clouds,-17.21,96,100,10.18
94,Georgetown,MY,2022-02-07 23:29:18,5.4112,100.3354,few clouds,79.9,93,20,3.44
95,Hermanus,ZA,2022-02-07 23:25:05,-34.4187,19.2345,few clouds,62.91,89,15,5.55
96,Micheweni,TZ,2022-02-07 23:29:18,-4.9667,39.8333,broken clouds,78.64,78,82,8.81
97,Gejiu,CN,2022-02-07 23:29:19,23.306,103.1635,scattered clouds,40.35,97,46,4.97
98,Bonavista,CA,2022-02-07 23:29:19,48.6499,-53.1147,overcast clouds,21.11,67,99,19.08
99,Carnarvon,AU,2022-02-07 23:29:20,-24.8667,113.6333,clear sky,69.87,56,5,14.97
100,Mineiros,BR,2022-02-07 23:28:52,-17.5694,-52.5511,broken clouds,69.4,93,73,2.95
101,Ribeira Grande,PT,2022-02-07 23:29:21,38.5167,-28.7,broken clouds,60.04,73,64,12.01
102,Sao Jose Da Coroa Grande,BR,2022-02-07 23:29:21,-8.8978,-35.1478,clear sky,79.27,74,2,10.11
103,Santa Rosa De Cabal,CO,2022-02-07 23:29:22,4.8681,-75.6214,moderate rain,67.62,83,40,9.22
104,Saldanha,ZA,2022-02-07 23:29:22,-33.0117,17.9442,clear sky,64.45,97,8,9.13
105,Dunedin,NZ,2022-02-07 23:29:23,-45.8742,170.5036,scattered clouds,61.93,66,36,5.14
106,Ust-Kuyga,RU,2022-02-07 23:29:23,70.0167,135.6,overcast clouds,-46.59,100,97,2.91
107,Jutai,BR,2022-02-07 23:29:24,-5.1833,-68.9,broken clouds,76.44,90,73,0.81
108,Statesboro,US,2022-02-07 23:27:47,32.4488,-81.7832,light rain,47.73,93,100,5.75
109,Hithadhoo,MV,2022-02-07 23:29:24,-0.6,73.0833,overcast clouds,82.29,67,93,15.05
110,Takoradi,GH,2022-02-07 23:29:25,4.8845,-1.7554,overcast clouds,79.09,88,99,5.86
111,Bluff,NZ,2022-02-07 23:29:25,-46.6,168.3333,scattered clouds,59.81,72,49,9.84
112,Houma,US,2022-02-07 23:29:26,29.5958,-90.7195,broken clouds,55.4,48,75,5.75
113,Coos Bay,US,2022-02-07 23:29:27,43.3665,-124.2179,mist,62.31,100,100,17.27
114,Saint George,US,2022-02-07 23:26:32,37.1041,-113.5841,clear sky,62.44,17,0,1.01
115,Kaitangata,NZ,2022-02-07 23:29:27,-46.2817,169.8464,few clouds,58.93,72,24,5.64
116,Hofn,IS,2022-02-07 23:29:28,64.2539,-15.2082,overcast clouds,35.74,86,96,44.87
117,Thompson,CA,2022-02-07 23:26:33,55.7435,-97.8558,broken clouds,19.56,79,75,3.44
118,Redmond,US,2022-02-07 23:25:40,47.674,-122.1215,overcast clouds,55.65,81,99,1.99
119,Quatre Cocos,MU,2022-02-07 23:29:29,-20.2078,57.7625,broken clouds,77.11,83,79,9.26
120,Chateaubelair,VC,2022-02-07 23:29:29,13.2833,-61.25,broken clouds,77.61,77,53,15.05
121,Gunjur,GM,2022-02-07 23:29:30,13.2019,-16.7339,clear sky,73.47,83,0,4.61
122,South Lake Tahoe,US,2022-02-07 23:27:59,38.9332,-119.9844,clear sky,57.54,46,0,8.05
123,Matola,MZ,2022-02-07 23:29:30,-25.9622,32.4589,few clouds,73.51,94,20,8.05
124,Kalevala,RU,2022-02-07 23:29:31,65.2,31.1667,overcast clouds,19.72,98,100,3.27
125,Nsunga,TZ,2022-02-07 23:29:31,-1.1439,31.3947,overcast clouds,62.82,88,97,2.77
126,Khoy,IR,2022-02-07 23:29:31,38.5504,44.9535,clear sky,22.57,64,7,5.3
127,Zverevo,RU,2022-02-07 23:29:32,48.0211,40.1228,snow,33.73,85,100,13.51
128,San Cristobal,VE,2022-02-07 23:29:33,7.7669,-72.225,overcast clouds,73.58,75,89,1.5
129,Ouadda,CF,2022-02-07 23:29:33,8.0777,22.4007,few clouds,63.81,18,21,6.17
130,Ngunguru,NZ,2022-02-07 23:29:34,-35.6167,174.5,overcast clouds,75.16,96,100,6.69
131,Hobyo,SO,2022-02-07 23:29:34,5.3505,48.5268,scattered clouds,75.33,69,34,16.82
132,Hirara,JP,2022-02-07 23:30:35,24.8,125.2833,broken clouds,66.47,77,75,23.02
133,Teahupoo,PF,2022-02-07 23:30:35,-17.8333,-149.2667,light rain,80.56,79,100,21.23
134,Shellbrook,CA,2022-02-07 23:30:36,53.2168,-106.4011,overcast clouds,33.03,90,100,18.32
135,Khani,GE,2022-02-07 23:30:36,41.9563,42.9566,scattered clouds,31.57,75,27,8.86
136,Westport,US,2022-02-07 23:30:37,41.1415,-73.3579,mist,39.2,95,100,8.05
137,Tuktoyaktuk,CA,2022-02-07 23:30:37,69.4541,-133.0374,few clouds,-32.8,68,20,8.05
138,Boa Vista,BR,2022-02-07 23:30:38,2.8197,-60.6733,few clouds,84.18,61,20,9.22
139,East London,ZA,2022-02-07 23:30:38,-33.0153,27.9116,clear sky,73.18,90,7,10.69
140,Moth,IN,2022-02-07 23:30:39,25.7167,78.95,clear sky,54.77,56,0,4.88
141,Churachandpur,IN,2022-02-07 23:30:39,24.3333,93.6667,clear sky,39.56,96,0,1.79
142,Visby,SE,2022-02-07 23:30:40,57.6409,18.296,clear sky,35.82,80,7,11.5
143,Cabo San Lucas,MX,2022-02-07 23:30:40,22.8909,-109.9124,clear sky,79.61,53,0,3.44
144,Joshimath,IN,2022-02-07 23:30:41,30.5667,79.5667,clear sky,33.51,50,4,7.87
145,Avarua,CK,2022-02-07 23:30:42,-21.2078,-159.775,heavy intensity rain,77.05,88,75,12.66
146,Touros,BR,2022-02-07 23:30:42,-5.1989,-35.4608,broken clouds,81.5,69,52,13.31
147,Emba,KZ,2022-02-07 23:30:43,48.8264,58.1442,overcast clouds,14.58,96,100,4.12
148,Linden,GY,2022-02-07 23:30:43,6.0,-58.3,broken clouds,78.94,95,80,3.42
149,Macenta,GN,2022-02-07 23:30:44,8.5435,-9.471,overcast clouds,70.2,27,99,2.86
150,Nicoya,CR,2022-02-07 23:30:44,10.1483,-85.452,broken clouds,85.55,62,55,1.03
151,Yulara,AU,2022-02-07 23:30:31,-25.2406,130.9889,overcast clouds,82.24,57,98,12.66
152,Grand Gaube,MU,2022-02-07 23:29:37,-20.0064,57.6608,broken clouds,77.4,86,75,3.0
153,Pisco,PE,2022-02-07 23:30:46,-13.7,-76.2167,clear sky,72.01,88,0,9.22
154,Saint-Joseph,RE,2022-02-07 23:30:46,-21.3667,55.6167,overcast clouds,73.78,84,100,11.25
155,Bobo Dioulasso,BF,2022-02-07 23:30:47,11.1771,-4.2979,clear sky,74.34,14,0,4.25
156,Isangel,VU,2022-02-07 23:29:56,-19.55,169.2667,overcast clouds,86.11,79,100,10.36
157,Tambura,SS,2022-02-07 23:30:47,5.6,27.4667,overcast clouds,67.95,22,97,4.88
158,Talakan,RU,2022-02-07 23:30:48,50.3167,130.3667,overcast clouds,-2.2,97,99,0.83
159,Choma,ZM,2022-02-07 23:30:48,-16.8065,26.9531,scattered clouds,60.94,96,42,4.07
160,Iqaluit,CA,2022-02-07 23:29:49,63.7506,-68.5145,overcast clouds,-7.87,59,100,6.91
161,Saskylakh,RU,2022-02-07 23:30:50,71.9167,114.0833,scattered clouds,-26.12,99,50,6.13
162,Prince Rupert,CA,2022-02-07 23:30:10,54.3161,-130.3201,broken clouds,44.69,81,75,8.05
163,Lorengau,PG,2022-02-07 23:30:50,-2.0226,147.2712,overcast clouds,84.31,75,96,8.01
164,Cayenne,GF,2022-02-07 23:30:05,4.9333,-52.3333,clear sky,81.09,83,0,4.61
165,Karratha,AU,2022-02-07 23:30:51,-20.7377,116.8463,overcast clouds,80.44,78,100,19.22
166,Nakhon Phanom,TH,2022-02-07 23:30:52,17.3333,104.4167,scattered clouds,72.88,71,31,4.36
167,Tuatapere,NZ,2022-02-07 23:30:52,-46.1333,167.6833,clear sky,59.83,44,0,6.08
168,Oxford,GB,2022-02-07 23:30:28,51.7522,-1.256,broken clouds,51.49,86,75,9.22
169,Puxinana,BR,2022-02-07 23:30:53,-7.1611,-35.9606,few clouds,73.18,78,20,17.27
170,Havre-Saint-Pierre,CA,2022-02-07 23:30:53,50.2334,-63.5986,overcast clouds,15.8,85,100,12.66
171,Ancud,CL,2022-02-07 23:30:54,-41.8697,-73.8203,overcast clouds,65.73,88,93,5.66
172,Strezhevoy,RU,2022-02-07 23:30:54,60.7333,77.5889,clear sky,-9.02,99,9,5.66
173,Mirabela,BR,2022-02-07 23:30:55,-16.2628,-44.1644,overcast clouds,75.45,96,100,3.87
174,Brodokalmak,RU,2022-02-07 23:30:56,55.5748,62.082,overcast clouds,4.1,100,87,4.27
175,Salinopolis,BR,2022-02-07 23:31:57,-0.6136,-47.3561,broken clouds,78.64,86,80,8.16
176,Wajima,JP,2022-02-07 23:31:57,37.4,136.9,broken clouds,34.48,93,75,2.3
177,Nyurba,RU,2022-02-07 23:31:58,63.2842,118.3319,overcast clouds,-14.69,96,100,5.19
178,Arroyo,ES,2022-02-07 23:31:58,41.6096,-4.7969,clear sky,40.59,79,0,5.75
179,Yumen,CN,2022-02-07 23:31:59,40.2833,97.2,few clouds,17.04,70,15,10.2
180,Ahipara,NZ,2022-02-07 23:32:00,-35.1667,173.1667,broken clouds,79.86,77,68,6.93
181,Stawell,AU,2022-02-07 23:32:01,-37.05,142.7667,clear sky,77.74,26,0,13.91
182,Kresttsy,RU,2022-02-07 23:32:01,58.2452,32.5165,overcast clouds,32.83,90,100,5.17
183,Bethel,US,2022-02-07 23:32:02,41.3712,-73.414,mist,37.49,91,100,0.0
184,Terrace,CA,2022-02-07 23:32:03,54.5163,-128.6035,light intensity shower rain,42.71,87,75,10.36
185,Nikolskoye,RU,2022-02-07 23:32:03,59.7035,30.7861,overcast clouds,35.71,99,100,2.13
186,Upernavik,GL,2022-02-07 23:32:04,72.7868,-56.1549,overcast clouds,-8.45,93,100,13.04
187,Fairbanks,US,2022-02-07 23:30:35,64.8378,-147.7164,light snow,0.1,75,100,6.91
188,Yoichi,JP,2022-02-07 23:32:04,43.2039,140.7703,light snow,26.78,84,100,5.79
189,Oxapampa,PE,2022-02-07 23:32:05,-10.5775,-75.4017,overcast clouds,58.26,99,100,2.89
190,Pevek,RU,2022-02-07 23:29:37,69.7008,170.3133,scattered clouds,-28.59,98,26,3.13
191,Mana,GF,2022-02-07 23:32:06,5.6592,-53.7767,scattered clouds,77.11,87,44,8.57
192,Petropavlovsk-Kamchatskiy,RU,2022-02-07 23:32:06,53.0452,158.6483,broken clouds,23.59,86,75,4.47
193,Fomboni,KM,2022-02-07 23:32:07,-12.28,43.7425,light rain,82.44,76,88,13.06
194,Bandarban,BD,2022-02-07 23:32:07,22.1965,92.2262,clear sky,50.68,81,0,2.75
195,Broome,US,2022-02-07 23:32:08,42.2506,-75.833,clear sky,35.98,75,0,3.44
196,Trondheim,NO,2022-02-07 23:30:04,63.4305,10.3951,overcast clouds,37.45,89,100,7.31
197,Vostok,RU,2022-02-07 23:31:04,46.4856,135.8833,overcast clouds,2.7,92,100,3.06
198,Burgeo,CA,2022-02-07 23:29:28,47.6167,-57.6152,overcast clouds,29.48,70,100,18.37
199,Omboue,GA,2022-02-07 23:32:09,-1.5746,9.2618,broken clouds,77.74,89,51,5.88
200,Usta Muhammad,PK,2022-02-07 23:32:10,28.1794,68.0445,broken clouds,61.25,34,57,1.54
201,Pemberton,CA,2022-02-07 23:32:10,50.3164,-122.8027,overcast clouds,46.26,95,93,4.99
202,Doka,SD,2022-02-07 23:32:11,13.5167,35.7667,clear sky,70.39,35,2,10.31
203,Fukue,JP,2022-02-07 23:32:11,32.6881,128.8419,scattered clouds,43.16,81,40,3.44
204,Alihe,CN,2022-02-07 23:32:12,50.5667,123.7167,clear sky,-5.01,94,8,2.66
205,Jinji,CN,2022-02-07 23:32:12,23.2281,110.8261,overcast clouds,48.54,84,100,7.63
206,Vila Velha,BR,2022-02-07 23:30:06,-20.3297,-40.2925,broken clouds,78.94,87,75,12.66
207,Asyut,EG,2022-02-07 23:32:13,27.181,31.1837,clear sky,51.98,40,0,4.65
208,Mahebourg,MU,2022-02-07 23:32:14,-20.4081,57.7,broken clouds,77.29,83,75,3.44
