City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
149,Verkhoyansk,RU,2022-02-06 20:28:55,67.5447,133.385,-31.79,97,100,1.01
150,Port Alfred,ZA,2022-02-06 20:28:55,-33.5906,26.891,74.66,83,73,21.32
151,Saskylakh,RU,2022-02-06 20:28:56,71.9167,114.0833,-24.97,100,95,2.08
152,Hualmay,PE,2022-02-06 20:28:56,-11.0964,-77.6139,74.53,69,70,9.57
153,Chuy,UY,2022-02-06 20:26:21,-33.6971,-53.4616,73.94,40,4,16.46
154,Labuhan,ID,2022-02-06 20:28:57,-6.8844,112.2051,77.18,90,100,6.98
155,Lompoc,US,2022-02-06 20:28:57,34.6391,-120.4579,78.01,38,0,4.61
156,Camacha,PT,2022-02-06 20:25:44,33.0833,-16.3333,59.76,67,40,14.97
157,San Joaquin,US,2022-02-06 20:28:58,37.9333,-121.3011,67.01,51,0,0.0
158,Kampong Chhnang,KH,2022-02-06 20:28:58,12.1667,104.55,74.28,70,74,4.29
159,Avera,US,2022-02-06 20:28:59,33.194,-82.5271,49.71,46,100,8.41
160,Redmond,US,2022-02-06 20:28:56,47.674,-122.1215,53.67,85,9,1.99
161,Nizhniy Kuranakh,RU,2022-02-06 20:28:59,58.8353,125.4869,-23.37,99,29,2.13
162,Kushiro,JP,2022-02-06 20:29:00,42.975,144.3747,18.05,75,16,5.99
163,Touros,BR,2022-02-06 20:29:00,-5.1989,-35.4608,85.1,67,1,13.35
164,Kodiak,US,2022-02-06 20:29:01,57.79,-152.4072,36.91,65,0,14.97
165,Westport,US,2022-02-06 20:29:01,41.1415,-73.3579,32.29,61,92,1.01
166,Havre-Saint-Pierre,CA,2022-02-06 20:29:02,50.2334,-63.5986,5.59,55,0,13.8
167,Rudbar,AF,2022-02-06 20:29:02,30.15,62.6,54.84,28,0,7.29
168,Dikson,RU,2022-02-06 20:29:02,73.5069,80.5464,-20.13,99,93,10.4
169,Grand Forks,US,2022-02-06 20:29:03,47.9417,-97.4337,3.78,66,0,11.5
170,Tukrah,LY,2022-02-06 20:29:03,32.5341,20.5791,58.26,68,100,6.04
171,Masvingo,ZW,2022-02-06 20:29:04,-20.0637,30.8277,67.57,77,99,3.74
172,Husavik,IS,2022-02-06 20:29:04,66.0449,-17.3389,24.71,77,99,5.37
173,Killybegs,IE,2022-02-06 20:29:05,54.6333,-8.45,42.51,71,91,16.51
174,Le Port,RE,2022-02-06 20:29:05,-20.9373,55.2919,80.56,75,95,12.8
175,Butaritari,KI,2022-02-06 20:26:03,3.0707,172.7902,81.61,77,48,16.08
176,Dunedin,NZ,2022-02-06 20:29:06,-45.8742,170.5036,51.6,77,24,1.92
177,Shumikha,RU,2022-02-06 20:29:06,55.2261,63.2961,-0.63,91,51,5.66
178,Narsaq,GL,2022-02-06 20:29:07,60.9167,-46.05,7.02,79,100,0.6
179,Klaksvik,FO,2022-02-06 20:29:07,62.2266,-6.589,34.72,57,89,36.91
180,Bongaree,AU,2022-02-06 20:29:08,-27.0797,153.1586,69.3,71,99,17.87
181,Fomboni,KM,2022-02-06 20:29:08,-12.28,43.7425,83.46,72,78,7.56
182,Sandwick,GB,2022-02-06 20:29:08,60.0,-1.25,39.02,60,75,27.63
183,Valparaiso,CL,2022-02-06 20:27:27,-33.0393,-71.6273,67.64,78,100,8.05
184,Farafangana,MG,2022-02-06 20:29:09,-22.8167,47.8333,78.53,93,100,17.45
185,Kaitangata,NZ,2022-02-06 20:30:10,-46.2817,169.8464,52.25,69,3,2.13
186,Tutoia,BR,2022-02-06 20:30:10,-2.7619,-42.2744,85.98,81,28,11.95
187,Grindavik,IS,2022-02-06 20:30:11,63.8424,-22.4338,27.07,74,100,9.22
188,Toyooka,JP,2022-02-06 20:30:11,35.5333,134.8333,34.14,93,100,1.19
189,Ponta Do Sol,PT,2022-02-06 20:30:12,32.6667,-17.1,63.72,68,9,11.61
190,Mustasaari,FI,2022-02-06 20:30:12,63.1142,21.6822,32.34,93,75,9.22
191,Portland,US,2022-02-06 20:29:45,45.5234,-122.6762,60.76,74,20,1.01
192,Hami,CN,2022-02-06 20:26:29,42.8,93.45,26.08,34,16,11.3
193,Adrar,MR,2022-02-06 20:30:13,20.5022,-10.0711,69.71,9,0,9.17
194,Batsfjord,NO,2022-02-06 20:30:14,70.6345,29.7185,26.6,92,62,16.13
195,Walvis Bay,NA,2022-02-06 20:30:14,-22.9575,14.5053,72.55,78,100,5.75
196,Shalinskoye,RU,2022-02-06 20:30:15,55.7228,93.7594,10.92,85,100,5.5
197,Nanning,CN,2022-02-06 20:30:15,22.8167,108.3167,50.45,97,100,2.13
198,Mahebourg,MU,2022-02-06 20:28:26,-20.4081,57.7,79.25,83,75,6.91
199,Adamovka,RU,2022-02-06 20:30:16,51.5223,59.9396,15.8,94,100,0.6
200,Batemans Bay,AU,2022-02-06 20:25:22,-35.7167,150.1833,64.09,88,64,7.14
201,Sao Filipe,CV,2022-02-06 20:30:17,14.8961,-24.4956,73.08,74,0,8.7
202,Bilma,NE,2022-02-06 20:30:18,18.6853,12.9164,63.61,15,0,7.87
203,Myitkyina,MM,2022-02-06 20:30:18,25.3833,97.4,50.58,89,0,3.22
204,Ponta Delgada,PT,2022-02-06 20:29:38,37.7333,-25.6667,61.5,88,20,11.5
205,Ipixuna,BR,2022-02-06 20:30:19,-1.7625,-48.8043,76.95,95,98,4.61
206,East London,ZA,2022-02-06 20:30:20,-33.0153,27.9116,73.69,83,2,16.62
207,Aklavik,CA,2022-02-06 20:30:20,68.2191,-135.0107,-19.37,76,75,16.11
208,Arys,KZ,2022-02-06 20:30:21,42.4252,68.795,35.82,84,100,10.18
209,Pelym,RU,2022-02-06 20:30:22,61.0108,61.9978,7.88,98,100,4.76
210,Jiazi,CN,2022-02-06 20:30:22,22.8779,116.067,56.97,83,100,18.7
211,Biskamzha,RU,2022-02-06 20:30:23,53.4497,89.5272,6.69,89,95,1.92
212,Khandyga,RU,2022-02-06 20:30:23,62.6667,135.6,-39.19,99,100,2.1
213,Sitka,US,2022-02-06 20:30:24,57.0531,-135.33,44.49,81,100,20.71
214,Misratah,LY,2022-02-06 20:30:25,32.3754,15.0925,59.74,75,98,5.53
215,Banjarmasin,ID,2022-02-06 20:30:25,-3.3244,114.591,73.54,97,96,2.89
216,Ostrovnoy,RU,2022-02-06 20:30:26,68.0531,39.5131,14.34,86,99,21.59
217,Talnakh,RU,2022-02-06 20:30:27,69.4865,88.3972,-27.58,99,55,1.16
218,Parintins,BR,2022-02-06 20:30:27,-2.6283,-56.7358,77.72,88,84,1.68
219,Arbagar,RU,2022-02-06 20:30:28,51.9438,116.2805,-16.94,100,84,1.66
220,Dolores,AR,2022-02-06 20:30:28,-36.3132,-57.6792,65.08,78,96,12.17
221,Hammerfest,NO,2022-02-06 20:30:29,70.6634,23.6821,31.73,68,0,13.8
222,Synya,RU,2022-02-06 20:30:29,65.3718,58.0387,-6.99,98,42,2.77
223,Deep River,CA,2022-02-06 20:28:46,46.1001,-77.4995,24.44,94,100,8.88
224,Arraial Do Cabo,BR,2022-02-06 20:30:30,-22.9661,-42.0278,85.96,69,0,18.41
225,Victoria,HK,2022-02-06 20:27:24,22.2855,114.1577,62.58,83,100,1.01
226,Caravelas,BR,2022-02-06 20:30:31,-17.7125,-39.2481,79.0,81,7,7.96
227,Lensk,RU,2022-02-06 20:30:31,60.7253,114.9278,8.55,95,100,5.73
228,Carnarvon,AU,2022-02-06 20:28:07,-24.8667,113.6333,73.47,64,100,23.02
229,Sisimiut,GL,2022-02-06 20:30:32,66.9395,-53.6735,0.46,93,100,10.56
230,Rawson,AR,2022-02-06 20:29:39,-43.3002,-65.1023,75.43,34,6,15.93
231,Ati,TD,2022-02-06 20:31:33,13.2154,18.3353,70.14,13,0,10.36
232,Tambilil,PH,2022-02-06 20:31:34,5.9622,124.6697,77.92,74,100,4.81
233,Ahipara,NZ,2022-02-06 20:28:54,-35.1667,173.1667,73.51,97,100,6.22
234,Grande Prairie,CA,2022-02-06 20:31:34,55.1667,-118.8027,42.98,52,75,32.21
235,Bladel,NL,2022-02-06 20:31:35,51.3683,5.2208,42.71,90,75,8.01
236,Kenora,CA,2022-02-06 20:31:18,49.8167,-94.4337,9.79,72,20,5.75
237,Safford,US,2022-02-06 20:30:24,32.834,-109.7076,61.93,20,0,0.6
238,Yar-Sale,RU,2022-02-06 20:31:36,66.8333,70.8333,-10.95,100,84,7.96
239,Carbonia,IT,2022-02-06 20:31:37,39.1672,8.5222,50.02,83,1,10.54
240,Aleksandrov Gay,RU,2022-02-06 20:31:37,50.147,48.5704,11.14,93,100,7.63
241,Sault Sainte Marie,CA,2022-02-06 20:31:37,46.5168,-84.3333,26.89,73,100,0.0
242,Omboue,GA,2022-02-06 20:31:38,-1.5746,9.2618,78.3,86,18,7.29
243,Adiake,CI,2022-02-06 20:31:38,5.2863,-3.304,80.19,78,90,8.32
244,Naryan-Mar,RU,2022-02-06 20:31:39,67.6713,53.087,10.26,89,100,14.67
245,Port Elizabeth,ZA,2022-02-06 20:29:35,-33.918,25.5701,77.09,78,0,12.66
246,Bowen,AU,2022-02-06 20:31:14,-20.0167,148.2333,71.82,76,56,10.89
247,Grand Gaube,MU,2022-02-06 20:31:40,-20.0064,57.6608,79.38,81,85,5.01
248,Kamenka,RU,2022-02-06 20:31:40,51.3223,42.7678,25.75,96,97,6.2
249,San Vicente,AR,2022-02-06 20:31:41,-26.6167,-54.1333,82.99,28,1,5.53
250,Zunyi,CN,2022-02-06 20:31:41,27.6867,106.9072,32.2,99,100,2.39
251,Praya,CV,2022-02-06 20:31:41,14.9215,-23.5087,72.14,73,20,17.27
252,Naushki,RU,2022-02-06 20:31:42,50.3828,106.1056,-5.89,97,92,4.07
253,Morondava,MG,2022-02-06 20:31:43,-20.2833,44.2833,80.56,84,100,21.36
254,Nicoya,CR,2022-02-06 20:31:43,10.1483,-85.452,89.15,40,64,8.43
255,Soyo,AO,2022-02-06 20:31:44,-6.1349,12.3689,77.7,84,23,7.94
256,Nelson Bay,AU,2022-02-06 20:27:02,-32.7167,152.15,70.11,67,49,1.99
257,Mabaruma,GY,2022-02-06 20:31:45,8.2,-59.7833,75.88,95,92,5.59
258,Saldanha,ZA,2022-02-06 20:27:32,-33.0117,17.9442,68.05,96,38,9.33
259,Maniitsoq,GL,2022-02-06 20:29:32,65.4167,-52.9,3.83,72,100,13.27
