City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
520,Cairns,AU,85.1,scattered clouds,-16.9167,145.7667,Mantra Trilogy Cairns
521,Mogadishu,SO,75.31,broken clouds,2.0371,45.3438,Hotel Juba
522,Tijucas,BR,77.02,broken clouds,-27.2414,-48.6336,Hotel do Valle
526,Kampot,KH,75.25,broken clouds,10.6167,104.1833,Two Moons Hotel
529,Wahiawa,US,79.12,overcast clouds,21.5028,-158.0236,Aloha Wahiawa
535,Edd,ER,75.4,broken clouds,13.9297,41.6925,
536,Cururupu,BR,75.31,broken clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
544,Lahaina,US,82.4,clear sky,20.8783,-156.6825,Lahaina Shores Beach Resort
548,Cap Malheureux,MU,77.49,broken clouds,-19.9842,57.6142,Pereybere Hotel & Spa
549,Samarai,PG,83.32,broken clouds,-10.6167,150.6667,Nuli Sapi
555,Manado,ID,77.77,scattered clouds,1.487,124.8455,Aryaduta Hotel
556,Kulhudhuffushi,MV,79.34,few clouds,6.6221,73.07,Haajy Guest House 1
557,Bowen,AU,80.82,overcast clouds,-20.0167,148.2333,Castle Motor Lodge Motel
566,Manakara,MG,77.77,overcast clouds,-22.1333,48.0167,La Residence Manakara
568,Dingle,PH,78.91,scattered clouds,10.9995,122.6711,SEGAYA PROPERTY
573,Guatire,VE,82.9,overcast clouds,10.4762,-66.5427,Parque Residencial Canaima I
576,Conde,BR,80.06,clear sky,-7.2597,-34.9075,Pousada Beija Flor
584,Mlonggo,ID,78.69,overcast clouds,-6.5333,110.7,Asia Metal Art
596,Tevaitoa,PF,81.46,light rain,-16.7833,-151.5,Hôtel Raiatea Lodge
598,Labuhan,ID,79.54,overcast clouds,-6.8844,112.2051,DoubleFAG
608,Pantai Remis,MY,75.22,overcast clouds,4.4557,100.6288,Leisure Homestay
620,Ndjole,GA,76.32,scattered clouds,-0.1783,10.7649,Motel Kédyann
631,Emerald,AU,78.94,clear sky,-23.5333,148.1667,The Irish Village
633,Pitimbu,BR,81.19,few clouds,-7.4706,-34.8086,Reserva do Abiaí
638,Mayumba,GA,77.41,broken clouds,-3.432,10.6554,LIKWALE LODGE
641,Portobelo,PA,84.61,few clouds,9.55,-79.65,Scuba Portobelo
644,San Carlos,VE,83.28,broken clouds,9.6612,-68.5827,Hotel Paternopoli
646,Kahului,US,82.42,few clouds,20.8947,-156.47,Maui Seaside Hotel
647,Mitsamiouli,KM,81.61,light rain,-11.3847,43.2844,Foyer ADM
648,Ligayan,PH,80.31,light rain,4.6533,119.4706,
654,Noumea,NC,82.99,light rain,-22.2763,166.4572,Hôtel Le Lagon
657,Mazagao,BR,80.65,light rain,-0.115,-51.2894,Recanto dos Ferreiras
669,Neiafu,TO,79.48,overcast clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
672,Cockburn Town,TC,76.96,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
674,Gigmoto,PH,78.87,overcast clouds,13.7796,124.39,Cj's Travellers Inn
684,Grenville,GD,78.85,scattered clouds,12.1167,-61.6167,Valley Breeze Guest House
686,Sunbury,AU,79.56,clear sky,-37.5833,144.7333,Sunbury Motor Inn
690,Honiara,SB,84.4,overcast clouds,-9.4333,159.95,Heritage Park Hotel
691,Iquitos,PE,82.44,light rain,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
693,Kendari,ID,78.93,overcast clouds,-3.945,122.4989,Hotel Wixel
707,Buala,SB,84.81,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
710,Kununurra,AU,82.38,overcast clouds,-15.7667,128.7333,Hotel Kununurra
712,Puerto Princesa,PH,79.79,overcast clouds,9.7392,118.7353,Deep Forest Garden Inn
713,Oussouye,SN,75.38,scattered clouds,12.485,-16.5469,Auberge du Routard
714,Caravelas,BR,77.7,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
719,Almeirim,BR,75.49,broken clouds,-1.5233,-52.5817,Ricácio Hotel
723,Santarem,BR,77.13,few clouds,-2.4431,-54.7083,Ecotur Lodge
727,Kavaratti,IN,77.81,few clouds,10.5669,72.642,Hotels in Lakshadweep Islands
